epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2745.26,1.48504,0.76173,0.98704,0.83098,0.54273,0.63061,0.34483,1.39373,0.65929,0.99858,0.005842,0.005842,0.005842
44,2809.76,1.47651,0.75181,0.98676,0.82928,0.5437,0.62874,0.3441,1.39307,0.66046,0.99887,0.005743,0.005743,0.005743
45,2873.36,1.48245,0.75707,0.98717,0.83387,0.54278,0.63143,0.34718,1.38476,0.65533,0.99529,0.005644,0.005644,0.005644
46,2935.62,1.46519,0.74494,0.98295,0.82852,0.54625,0.63092,0.34702,1.38559,0.65376,0.99489,0.005545,0.005545,0.005545
47,2998.84,1.48487,0.753,0.98657,0.82905,0.54858,0.63164,0.34621,1.38542,0.65613,0.99583,0.005446,0.005446,0.005446
48,3062.46,1.45841,0.74346,0.98247,0.83345,0.54347,0.63159,0.34621,1.38984,0.6551,0.99816,0.005347,0.005347,0.005347
49,3126.5,1.46246,0.74513,0.98023,0.82837,0.54972,0.63271,0.34613,1.3863,0.6526,0.99657,0.005248,0.005248,0.005248
50,3190.11,1.4635,0.74358,0.98367,0.83108,0.54955,0.63396,0.34728,1.38738,0.65154,0.99859,0.005149,0.005149,0.005149
51,3254.74,1.46242,0.74376,0.98412,0.83329,0.54972,0.63547,0.34845,1.38349,0.64611,0.99648,0.00505,0.00505,0.00505
52,3318.2,1.46567,0.73912,0.98055,0.82983,0.54977,0.63462,0.34838,1.38091,0.64751,0.99523,0.004951,0.004951,0.004951
53,3381.9,1.45035,0.73101,0.97899,0.83327,0.54807,0.63438,0.34793,1.37935,0.64642,0.9941,0.004852,0.004852,0.004852
54,3446.27,1.4568,0.73297,0.97895,0.82854,0.55021,0.63698,0.35038,1.38099,0.64333,0.9955,0.004753,0.004753,0.004753
55,3511.32,1.45855,0.73318,0.98004,0.82868,0.55176,0.63719,0.35027,1.38008,0.64406,0.99428,0.004654,0.004654,0.004654
56,3576.26,1.44398,0.72706,0.97843,0.83018,0.55347,0.63873,0.3515,1.38085,0.6435,0.99413,0.004555,0.004555,0.004555
57,3641.25,1.44663,0.7294,0.98003,0.83034,0.55283,0.63926,0.35192,1.38092,0.64171,0.99411,0.004456,0.004456,0.004456
58,3705.65,1.43804,0.72223,0.97639,0.83402,0.55153,0.63898,0.35334,1.37934,0.64107,0.99491,0.004357,0.004357,0.004357
59,3768.27,1.45048,0.72736,0.97553,0.83174,0.55392,0.63846,0.35245,1.37957,0.64023,0.9941,0.004258,0.004258,0.004258
60,3832.59,1.44206,0.72211,0.97637,0.8343,0.55455,0.6392,0.35213,1.37801,0.63993,0.99269,0.004159,0.004159,0.004159
61,3896.6,1.43852,0.71826,0.97297,0.8304,0.55609,0.63874,0.35232,1.37629,0.63735,0.99242,0.00406,0.00406,0.00406
