"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\shann\Desktop\SE\attendance_system\src\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\core\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\core\face_detect.py", "Python", 87, 9, 30, 126
"c:\Users\shann\Desktop\SE\attendance_system\src\core\face_take.py", "Python", 136, 15, 44, 195
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\attendance_detail_model.py", "Python", 36, 0, 10, 46
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\course_detail_model.py", "Python", 33, 0, 10, 43
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\course_table_model.py", "Python", 24, 0, 8, 32
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\course_teacher_table_model.py", "Python", 28, 0, 8, 36
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\qt_data_models.py", "Python", 122, 1, 26, 149
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\student_table_model.py", "Python", 31, 0, 9, 40
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\teacher_table_model.py", "Python", 23, 0, 7, 30
"c:\Users\shann\Desktop\SE\attendance_system\src\db\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\db\attendance_info_dao.py", "Python", 60, 0, 16, 76
"c:\Users\shann\Desktop\SE\attendance_system\src\db\course_dao.py", "Python", 50, 4, 14, 68
"c:\Users\shann\Desktop\SE\attendance_system\src\db\database.py", "Python", 47, 0, 13, 60
"c:\Users\shann\Desktop\SE\attendance_system\src\db\qt_data_models.py", "Python", 73, 1, 20, 94
"c:\Users\shann\Desktop\SE\attendance_system\src\db\student_dao.py", "Python", 34, 0, 6, 40
"c:\Users\shann\Desktop\SE\attendance_system\src\db\teacher_dao.py", "Python", 47, 2, 10, 59
"c:\Users\shann\Desktop\SE\attendance_system\src\db\vec_db.py", "Python", 24, 1, 12, 37
"c:\Users\shann\Desktop\SE\attendance_system\src\main.py", "Python", 10, 0, 4, 14
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\facenet_pytorch.py", "Python", 327, 7, 78, 412
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\hopenet.py", "Python", 145, 6, 21, 172
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\node_pose_net.py", "Python", 46, 3, 14, 63
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\admin_window.py", "Python", 301, 21, 74, 396
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\login_window.py", "Python", 86, 10, 33, 129
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\main_window.py", "Python", 222, 25, 59, 306
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\my_delegates.py", "Python", 12, 0, 5, 17
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\resources.py", "Python", 251, 5, 8, 264
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\ui_admin_window.py", "Python", 288, 10, 78, 376
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\ui_login.py", "Python", 63, 10, 28, 101
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\ui_main_window.py", "Python", 99, 10, 16, 125
"Total", "-", 2705, 140, 668, 3513
